Defect ID,Severity,Area,Status,Reproduction,Expected,Actual,Evidence,Fix commit,Automated regression,Focused retest,Adjacent regression
GC-USAB-026,P2,Ops notification routing lifecycle,Fixed locally; exact focused browser retest passed; final regression pending,"Open Ops Notifications and attempt destination and rule creation test delivery and archival under operator and non-operator principals","Expose complete destination/rule lifecycle actions and enforce the existing operator-only notification contract for every route","The Ops surface did not expose the complete routing lifecycle with stable action identities, so target/rule CRUD test delivery archival and denial proof could not be completed from the shipped route","apps/mission-control-next/src/features/native-routes/settings/sections/NotificationRoutingPanel.tsx; apps/mission-control-next/src/features/native-routes/ops/RuntimeRoutePage.tsx; artifacts/verification/2026-07-29T23-38-45-340Z-usability-browser-actions-ecd7ce87/summary.md",6a9df3f21cc78279fa12859aa6cb59481c95d138,"RuntimeRoutePage.test.tsx and SettingsShared.test.tsx cover the shared routing panel and exact lifecycle labels; browser probe requires non-operator 401/403","The final focused artifact passed both notification rows and all 17/17 Ops action steps with zero skips","Final-SHA complete usability auth-matrix and surface regressions remain pending"
GC-USAB-027,P2,Ops activity and cost operator controls,Fixed locally; exact focused browser retest passed; final regression pending,"Filter Activity across errors approvals runtime and all then inspect a source event; filter Costs to one provider and open budget controls","Every filter and detail disclosure is keyboard/browser addressable and provider spend can be narrowed before handing off to the canonical Budget owner","Activity and Costs lacked the complete stable operator controls needed to inspect event detail provider-specific spend and budget ownership from their shipped routes","apps/mission-control-next/src/features/native-routes/ops/RuntimeRoutePage.tsx; apps/mission-control-next/src/features/native-routes/ops/RuntimeRoutePage.test.tsx; artifacts/verification/2026-07-29T23-38-45-340Z-usability-browser-actions-ecd7ce87/summary.md",6a9df3f21cc78279fa12859aa6cb59481c95d138,"RuntimeRoutePage.test.tsx covers Activity category filters explicit disclosure-button semantics provider spend filtering and Budget navigation","The final focused artifact passed Activity filter/detail/reconnect plus Cost filter/budget truth and all 17/17 Ops action steps","Final-SHA surface visual accessibility and cost reconciliation gates remain pending"
GC-USAB-028,P1,Ops diagnostics and durable recovery,Fixed locally; exact focused browser retest passed; final regression pending,"Inspect a Diagnostics source export diagnostics enter backup recovery then pause and resume the exact canonical approval-wait run from Ops Approvals","Diagnostics detail/export/recovery controls are addressable and authenticated durable controls derive actor authority from the Gateway principal while resuming the canonical linked run","Diagnostics source summaries were not exposed as addressable disclosure buttons; the shared durable client also sent a browser-supplied actorId to a strict empty-body route, so resume returned 400 and left the canonical run paused","artifacts/verification/2026-07-29T23-23-37-423Z-usability-browser-actions-d2c12675; artifacts/verification/2026-07-29T23-34-54-909Z-usability-browser-actions-a7a33a3f; apps/mission-control-next/src/features/native-routes/ops/RuntimeRoutePage.tsx; packages/mission-control-shared/src/api/durable.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,"RuntimeRoutePage.test.tsx requires explicit diagnostic disclosure roles; wrappers-more.test.ts requires empty durable-control bodies even when a caller supplies actor text; the final API probe verifies runtime-lifecycle canonical identity and resumed state","Runtime component 30/30 shared API wrapper 5/5 and final browser artifact 17/17 passed including approval resume diagnostics detail/export and backup entry","Final-SHA durable recovery runtime truth backup and complete usability gates remain pending"
GC-USAB-029,P2,Passive notification overlay pointer interception,Fixed locally; exact focused browser retest passed; final regression pending,"Trigger a pending-approval toast then immediately create or edit an Ops Board beneath the notification stack","Passive toast copy never intercepts route controls while the explicit dismiss control remains operable","The approval-waiting notification paragraph intercepted pointer events over Board controls for the full toast lifetime and repeatedly blocked Create board","artifacts/verification/2026-07-29T22-46-29-143Z-usability-browser-actions-7d0dbb90; artifacts/verification/2026-07-29T22-50-30-748Z-usability-browser-actions-b7afe0e6; apps/mission-control-next/src/styles/mission-control-next.css",6a9df3f21cc78279fa12859aa6cb59481c95d138,"MissionControlNextApp.test.tsx asserts the passive notification stack disables pointer interception while the dismiss button opts back in","The final focused artifact passed Board CRUD/widgets and all 17/17 Ops action steps without interception","Final-SHA visual accessibility and complete clean-profile usability reruns remain pending"
GC-USAB-042,P1,Durable Chat cancellation admission,Fixed locally; focused end-to-end retest passed; exact browser and final parity pending,"Start a durable Chat stream against a provider held before first output; cancel the turn; wait for canonical cancellation; submit a second turn in the same session","Cancellation writes a clean terminal transition epoch, releases the exact durable admission, exposes Retry, and admits the next turn without replaying the cancelled provider request","The cancelled run retained waitForEvent null and other prior transition fields; terminal authority validation requires waitForEvent to be absent, so recovery looped on checkpoint-anchored authority conflicts and rejected the next turn as a non-preemptible active turn","artifacts/verification/2026-07-29T23-38-44-426Z-usability-bf814ec8; apps/gateway/src/chat-cancel-admission.integration.test.ts; apps/gateway/src/services/durable-run-service.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,"Real buildApp plus isolated SQLite blocked-provider integration proves one cancelled dispatch, exact admission release, and same-session CHAT_OK; durable service tests cover running/waiting metadata reset and cancelled terminal release; cancellation trace test preserves assistant identity","Focused Gateway cancellation/durable pack passed locally after reproducing the pre-fix failure; no final-SHA claim","Rerun exact Chat lifecycle/delegation, SQLite/Postgres admission parity, durable recovery, surface accessibility, and full usability gates"
GC-USAB-043,P2,Settings onboarding bootstrap,Fixed locally; focused route retest passed; exact browser journey pending,"Open Settings Start Here in an isolated root whose active profile is chat-agent and select Apply defaults","Every tool profile exposed and typed by the shipped UI and contracts is accepted by the onboarding bootstrap route","Mission Control sent defaultToolProfile chat-agent but the Gateway route schema omitted that shipped profile and returned 400, so the success notice never appeared","artifacts/verification/2026-07-30T00-02-40-187Z-usability-browser-actions-ce0cfc7f/diagnostics/usability-browser-actions-settings-core-auth-provider-failure-browser.json; apps/gateway/src/routes/onboarding.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,"apps/gateway/src/routes/onboarding.test.ts accepts chat-agent through the real Fastify route and proves the parsed value reaches the onboarding service","Focused onboarding route pack passed 12/12","Rerun settings-core-auth-provider Chromium bundle from a fresh profile; final Gateway and usability gates remain pending"
GC-USAB-044,P2,Settings integration diagnostics,Fixed locally; focused UI retest passed; exact browser journey pending,"Run Mission Control with connectorDiagnosticsV1Enabled disabled, open a configured integration, and inspect or invoke Run diagnostics","Unavailable connector diagnostics are visibly explained and cannot be invoked; enabled diagnostics remain actionable and surface their successful report","The Integration detail always exposed an enabled Run diagnostics action even when the Gateway capability was disabled, producing a predictable 409 and the generic Connection interrupted warning","artifacts/verification/2026-07-30T00-02-40-187Z-usability-browser-actions-ce0cfc7f/diagnostics/usability-browser-actions-settings-governance-runtime-integrations-failure-browser.json; artifacts/verification/2026-07-30T00-02-40-187Z-usability-browser-actions-ce0cfc7f/screenshots/usability-browser-actions-settings-governance-runtime-integrations-failure.png; apps/mission-control-next/src/features/native-routes/settings/sections/IntegrationsSection.tsx",6a9df3f21cc78279fa12859aa6cb59481c95d138,"SettingsNativePage.coverage.test.tsx proves disabled-capability explanation/no invocation and feature-aware no-action guidance plus enabled-capability action and guidance","Focused Settings coverage pack passed 52/52","Rerun settings-governance-runtime-integrations Chromium bundle with the deterministic capability enabled; final visual, accessibility, Gateway, and usability gates remain pending"
GC-USAB-045,P1,Durable Chat blocker wake authority,Fixed locally; focused tests passed; exact browser and parity pending,"Create an ordinary non-autonomous admitted-v2 Chat turn waiting for approval with an exact runtime-authority seal, checkpoint-anchored wait registration, and settled general waiting generation; then resolve the linked approval and wake that exact durable run","The wake validates the admitted-v2 retry policy, runtime-authority seal, exact wait registration, latest waiting checkpoint, and settled waiting generation before atomically queuing the run","prepareQueuedTransitionMetadata applied checkpoint and settlement validation only when autonomousAdmission was present; an ordinary admitted-v2 Chat wait instead entered the rejection branch and failed because its required runtime authority was treated as invalid without autonomous admission","artifacts/verification/2026-07-30T00-02-40-187Z-usability-browser-actions-ce0cfc7f; apps/gateway/src/services/durable-run-service.ts; apps/gateway/src/services/dev-verification-route-service.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,"durable-run-service.test.ts proves a settled ordinary admitted-v2 wait wakes and fails closed before settlement or with missing or tampered checkpoint authority; dev-verification-route-service.test.ts proves a real SQLite admission binding and user-input continuation","Focused Gateway Chat fixture and durable pack passed 127/127; Gateway typecheck passed","Rerun exact approval and user-input Chromium journey plus durable recovery and SQLite/Postgres admission/wake parity at the final SHA"
GC-USAB-046,P2,Library Memory search accessibility,Fixed locally; focused component retest passed; exact browser and accessibility regression pending,"Open Library Memory and address the visible Search memory field by its accessible name","The visible Search memory label is the canonical accessible name while the result-count description remains associated with the control","A redundant aria-label changed the accessible name to Search memories by namespace title or content, so the visible label was not contained in the computed name and exact keyboard/assistive automation could not address the field","artifacts/verification/2026-07-30T00-34-17-216Z-usability-browser-actions-45aef55c/diagnostics/usability-browser-actions-library-catalog-memory-failure-browser.json; artifacts/verification/2026-07-30T00-34-17-216Z-usability-browser-actions-45aef55c/screenshots/usability-browser-actions-library-catalog-memory-failure.png; apps/mission-control-next/src/features/native-routes/library/MemoryRoutePage.tsx",6a9df3f21cc78279fa12859aa6cb59481c95d138,"MemoryRoutePage.test.tsx proves the visible label and search input share the same for/id contract with no overriding aria-label; MemoryRoutePage.batchSelection.test.tsx retains search and selection behavior through the canonical type and placeholder","Focused Memory component pack passed 22/22; Mission Control Next typecheck passed","Rerun library-catalog-memory from a fresh profile and the final surface visual accessibility and complete usability gates"
GC-USAB-047,P1,Durable Chat user-input event sequencing,Fixed locally; focused SQLite proof passed; real Postgres and exact browser pending,"Resolve the deterministic admitted-v2 user-input blocker after a prior durable event then let the shared worker append run_started","Every durable event writer atomically allocates max of ledger successor and persisted-event successor; the continuation wake is N+1 the next ordinary append is N+2 and replay consumes no sequence","The continuation path inserted run_woken with MAX(sequence)+1 but did not advance durable_run_event_sequences; the worker then reused the same sequence and repeatedly violated UNIQUE(run_id sequence)","artifacts/verification/2026-07-30T00-34-17-216Z-usability-browser-actions-45aef55c/diagnostics/usability-browser-actions-gateway.stderr.log; packages/storage/src/session-mutation-admission-repo.ts; packages/storage/src/durable-run-event-repo.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,"durable-run-event-repo.test.ts heals a stale legacy ledger; session-mutation-admission-repo.test.ts proves N N+1 N+2 and replay stability; the live Postgres test races two identical resolutions and repeats drift healing","Storage and browser-action node pack passed 34/34; storage and Gateway typechecks passed; live Postgres test is implemented but skipped because GOATCITADEL_TEST_POSTGRES_URL is unset","Run the exact approval and user-input Chromium journey then real Postgres parity/restart and durable recovery at final SHA"
GC-USAB-048,P1,Shared durable worker terminal reconciliation isolation,Fixed locally; focused worker regression passed; exact browser pending,"Let one completed Chat run throw during terminal general post-commit reconciliation while an unrelated queued run waits behind it","The failing run retains recoverable canonical terminal state and emits a scoped recovery failure while the shared drain continues to execute and reconcile the next queued run","The unguarded terminal reconciliation await rejected the entire drain; the poll loop repeatedly selected the same poisoned recovery and blocked unrelated Prompt Pack and durable work","artifacts/verification/2026-07-30T00-34-17-216Z-usability-browser-actions-45aef55c/diagnostics/usability-browser-actions-gateway.stderr.log; apps/gateway/src/services/durable-run-service.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,"durable-run-service.test.ts injects an exact durable timeline uniqueness failure for the first terminal Chat reconciliation and requires the second queued run to execute and reconcile without a worker-background failure","DurableRunService focused pack passed 104/104; Gateway typecheck passed","Rerun Chat blocker continuation and Prompt Pack from a clean isolated root; retain scoped recovery diagnostics and require no repeated worker flood"
GC-USAB-049,P2,Chat edit and resend action,Fixed locally; focused component retest passed; exact browser pending,"Open a completed desktop Chat turn, hover or focus its exact turn control, and invoke Edit and resend","Every canonical turn card receives the controller edit callback and exposes its stable Edit and resend turn action","ThreadedTimeline accepted onEditTurn but never stabilized or forwarded it to ChatThreadTurnCard, so no edit action existed in the rendered canonical timeline","artifacts/verification/2026-07-30T01-01-44-961Z-usability-browser-actions-28d97d34/screenshots/usability-browser-actions-chat-lifecycle-failure.png; apps/mission-control-next/src/features/threaded-surface/ThreadedTimeline.tsx",6a9df3f21cc78279fa12859aa6cb59481c95d138,"ThreadedTimeline.test.tsx invokes the exact Edit and resend turn turn-1 control and requires the canonical callback","ThreadedTimeline focused pack passed 40/40","Rerun the exact desktop Chat edit/branch lifecycle from a clean profile plus final surface and accessibility regression"
GC-USAB-050,P1,Durable Chat approval continuation,Fixed locally; focused service retest passed; exact browser and parity pending,"Resolve an exact admitted-v2 Chat approval whose waiting generation is settled, wake its linked durable run, and let the worker claim it","The successful linked wake atomically moves the canonical waiting_for_approval trace to running before requesting provider dispatch; a restart-recovered still-waiting trace remains parked","The wake correctly queued the run and consumed its waiting authority but left the trace waiting_for_approval; durable execution classified that stale trace as committed recovery and finalized the run back to waiting without dispatch","artifacts/verification/2026-07-30T01-01-44-961Z-usability-browser-actions-28d97d34; apps/gateway/src/services/approval-resolution-effects-service.ts; apps/gateway/src/services/durable-execution-service.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,"approval-resolution-effects-service.test.ts requires waiting_for_approval to transition to running before effect completion and run-processing dispatch","Approval-effects service pack passed 76/76 and Gateway typecheck passed","Rerun exact approval/user-input continuation from a clean isolated root; require provider completion next-turn admission durable recovery and SQLite/Postgres parity"
GC-USAB-051,P2,Mobile Chat new-thread and touch accessibility,Fixed locally; exact provider-backed browser retest passed; final regression pending,"At 390x844 open the Sessions drawer select New thread complete a loopback-provider turn focus the composer reduce the effective viewport to 390x500 and inventory visible touch targets","Starting a new mobile thread closes the modal drawer; the composer can be tapped remains focused and fully visible above the reduced viewport edge; every visible target retains at least 24 CSS pixels in each dimension","New thread left the modal Sessions drawer open and the focus trap cleared composer focus; after isolating that defect the Add turn as context label measured 285.72x21.59 CSS pixels under the reduced viewport","artifacts/verification/2026-07-30T01-16-56-126Z-accessibility-smoke-c3782316; artifacts/verification/2026-07-30T01-24-51-481Z-accessibility-smoke-3108147f; artifacts/verification/2026-07-30T01-30-26-107Z-accessibility-smoke-e7b21008; apps/mission-control-next/src/features/threaded-surface/ThreadedSurfacePage.tsx; apps/mission-control-next/src/features/threaded-surface/styles/conversation-workspace.css",6a9df3f21cc78279fa12859aa6cb59481c95d138,"ThreadedSurfacePage.test.tsx requires New thread to close the mobile drawer and the compact context label to retain a 1.5rem minimum height; accessibility-smoke-lane.test.mjs rejects lost focus obscured geometry missing provider proof and sub-24px targets","Focused Mission Control test passed 28/28 and harness tests passed 7/7; the real isolated Chromium lane passed 8/8 with KEYBOARD_OK active composer focus 390x500 effective viewport zero overflow zero undersized targets and zero axe violations","Final-SHA accessibility surface and visual regression lanes plus packaged mobile-responsive proof remain pending"
GC-USAB-052,P2,Capability tool argument contracts,Fixed locally; focused registry tests and typecheck passed; live capability gate pending,"Read the inspectable/callable catalog and construct deterministic invocations for fs.stat memory.search and citations.build from their published contracts","Every callable built-in publishes the argument schema needed by planners operator surfaces and verification to construct and validate a governed invocation","The three callable tools had no argSchema even though their executors require structured path query or source arguments; catalog consumers could not derive a complete invocation contract","packages/policy-engine/src/tool-registry.ts; scripts/verification/lib/scenarios/usability-capability-dispositions.mjs",6a9df3f21cc78279fa12859aa6cb59481c95d138,"packages/policy-engine/src/tool-registry.test.ts requires the exact closed schemas including required fields bounds and citation-source shape","Policy registry tests passed 14/14 and policy-engine typecheck passed; deterministic result validators were independently checked against executor result shapes","Run the isolated 99-tool/14-skill live capability-disposition sweep and final usability gate; no catalog-wide pass is claimed from focused tests"
GC-USAB-053,P1,Chat Code Mode Build editor visibility,Fixed locally; focused and exact Chromium retests passed; final regression pending,"In canonical Chat select the deterministic governed Code Mode session after the agentic approval/restart steps and look for the code-capability workflow control","The selected Chat session exposes a visible Build editor control so the operator can approve run validate inspect immutable artifacts and open Run Detail","The workflow panel was composed correctly, but the unified Chat action-row CSS hid every secondary action except Work Record; Build editor therefore remained invisible across three clean reruns even with current threaded-core output","artifacts/verification/2026-07-30T03-01-56-441Z-usability-browser-actions-5e089c2f; artifacts/verification/2026-07-30T03-07-48-918Z-usability-browser-actions-a36ee242; artifacts/verification/2026-07-30T03-10-41-258Z-usability-browser-actions-e861ae46; apps/mission-control-next/src/features/threaded-surface/ThreadedSurfacePage.tsx; apps/mission-control-next/src/features/threaded-surface/styles/conversation-workspace.css; artifacts/verification/2026-07-30T03-52-11-577Z-usability-browser-actions-9ebced76",6a9df3f21cc78279fa12859aa6cb59481c95d138,"ThreadedSurfacePage.test.tsx requires the unified desktop CSS exception and a closed-by-default canonical Chat panel that opens from the visible Build editor control; MissionThreadedControllerHost.test.tsx retains workflowPanel kind=code composition","The clean exact Chat artifact passed 4/4 steps and visibly used Build editor before and after reload at artifacts/verification/2026-07-30T03-52-11-577Z-usability-browser-actions-9ebced76","Final-SHA complete usability surface visual accessibility and adjacent Chat lifecycle regressions remain pending"
GC-USAB-054,P2,Chat Code Mode Run log refresh,Fixed locally; focused and exact Chromium retests passed; final regression pending,"In canonical Chat open Build editor and Snippets, run the deterministic helper, then open Run log immediately without changing the selected session or reloading","The Run log refreshes after the helper submission settles and shows the newly created approval-pending or completed Code Mode run","The run-ledger fetch depended only on workspace session and turn identity, so the helper could create a run while the already-mounted Run log retained its stale empty list until a later remount or scope change","apps/mission-control-next/src/features/threaded-surface/workflow/CodeWorkbenchPanel.tsx; artifacts/verification/2026-07-30T03-52-11-577Z-usability-browser-actions-9ebced76",6a9df3f21cc78279fa12859aa6cb59481c95d138,"CodeWorkbenchPanel.test.tsx holds helper submission pending, proves no premature refetch, settles it, then requires a second scoped ledger fetch and the new approval_pending workbench_helper row","The exact Chromium sequence clicked Run helper snippet then Run log and Inspect run before any reload, and the complete 4/4 Chat artifact passed","Final-SHA complete Chat lifecycle usability and surface regressions remain pending"
GC-USAB-055,P1,Canonical Chat workbench reload hydration,Fixed locally; focused and exact Chromium retests passed; final regression pending,"Bind a canonical Chat session to a ready project worktree, complete a governed Code Mode helper run, reload /chat, then reopen Build editor and inspect run artifacts","A selected canonical Chat session reloads its workbench state and changed-file inventory independent of legacy mode labels","Workbench hydration was enabled only when messageMode equaled legacy code; the one-surface runtime normalizes canonical sessions to chat, so a reload could leave the workbench unhydrated despite the selected session and persisted ready state","packages/threaded-surface-core/src/chat/useChatDockWorkbenchController.ts; packages/threaded-surface-core/src/chat/useChatWorkbench.ts; artifacts/verification/2026-07-30T03-52-11-577Z-usability-browser-actions-9ebced76",6a9df3f21cc78279fa12859aa6cb59481c95d138,"useChatDockWorkbenchController.test.tsx enables hydration for any selected canonical Chat session; useChatWorkbench.test.tsx remounts after reload and requires ready workbench plus changed-file state","After the exact Chromium reload action the operator reopened Build editor, Run log, Inspect run, and Source and the immutable artifact probe passed in the 4/4 Chat artifact","Final-SHA complete Chat lifecycle and project/workbench browser regressions remain pending"
GC-USAB-056,P1,Canonical Chat project and dirty-draft guards,Fixed locally; focused controller retests passed; exact guard browser journey pending,"Select an unbound canonical Chat session that exposes Code Mode, or edit a workbench draft and navigate to another session or surface from the rail","An unbound selected session receives the project-binding gate, and every navigation away from a dirty canonical Chat workbench requires explicit discard confirmation before state is cleared","Both gates required messageMode to equal legacy code; canonical one-surface sessions normalize to chat, so the binding prompt stayed false and dirty-draft navigation could bypass confirmation","packages/threaded-surface-core/src/chat/useMissionControlSurfaceState.ts; packages/threaded-surface-core/src/MissionThreadedControllerHost.tsx",6a9df3f21cc78279fa12859aa6cb59481c95d138,"useMissionControlSurfaceState.test.ts requires project binding for a selected unbound Chat session; MissionThreadedControllerHost.test.tsx requires canonical Chat surface and rail navigation to open Discard unsaved workbench changes and blocks discard until confirmation","Focused threaded-surface-core controller/workbench pack passed 81/81; the exact Chat artifact independently passed project binding through the canonical probe and the bound Code Mode journey","Run the visible unbound-project prompt and dirty-draft cancel/confirm paths in Chromium, then retain final-SHA Chat usability and surface regressions"
GC-USAB-057,P2,Ops Run Detail trace routing,Fixed locally; focused and exact Chromium retests passed; final regression pending,"Open Run Detail for an ordinary durable Chat run and observe the network/console requests made while its universal trace loads","Run Detail reads the universal durable trace and requests an orchestration decision trace only when the durable run explicitly links an orchestration.plan.execute identity","The page queried orchestration trace storage with every durable run ID; ordinary Chat runs therefore generated a false orchestration-trace 404 even though their canonical Run Detail loaded","apps/mission-control-next/src/features/native-routes/ops/RunDetailRoutePage.tsx; artifacts/verification/2026-07-30T03-52-11-577Z-usability-browser-actions-9ebced76",6a9df3f21cc78279fa12859aa6cb59481c95d138,"RunDetailRoutePage.test.tsx proves a durable Chat run never calls fetchOrchestrationRunTrace and an orchestration durable payload calls it only with the linked orchestrationRunId","The clean exact artifact opened the correlated durable Chat Run Detail and passed its canonical API probe with browser health green","Final-SHA Ops Run Detail surface and complete usability regressions remain pending"
GC-USAB-058,P1,Canonical Chat URL knowledge attachment identity,Fixed locally; exact Chromium retest passed; final regression pending,"Seed a URL knowledge source for a canonical Chat session, reload /chat, then attach the same URL and retrieval mode through the visible Chat actions while console health is enforced. Also compare URLs whose paths differ only by case.","An idempotent Gateway attach reconciles the client list to one canonical attachment identity and one React key. Client URL comparison lowercases scheme and hostname, removes default ports and fragments, and preserves the Gateway's case-sensitive path semantics.","The Gateway correctly returned the existing attachment, but the client prepended that response without removing the same attachment already in local state, producing duplicate keys and 32 console errors. Its earlier whole-string lowercasing also collapsed path variants such as /Foo and /foo even though the Gateway preserves them as distinct sources.","artifacts/verification/2026-07-30T03-56-42-566Z-usability-browser-actions-2b0e4e69; packages/threaded-surface-core/src/MissionThreadedControllerHost.tsx; apps/gateway/src/services/chat-thread-knowledge-service.ts; artifacts/verification/2026-07-30T04-00-05-611Z-usability-browser-actions-c109b128",6a9df3f21cc78279fa12859aa6cb59481c95d138,"MissionThreadedControllerHost.test.tsx repeats the same URL attach and requires one attachmentId; chat-thread-knowledge-service.test.ts preserves distinct /Foo and /foo identities","The clean replacement passed all 3/3 Chat lifecycle steps with the PNG WAV URL canonical projection citation and tool-event assertions plus zero console or page errors at artifacts/verification/2026-07-30T04-00-05-611Z-usability-browser-actions-c109b128","Final-SHA complete usability Chat surface and adjacent attachment regressions remain pending"
GC-USAB-059,P1,Chat no-output provider recovery,Fixed locally; focused and identical shard retests passed; complete campaign pending,"Run the recovered no-tool failure path with an initial provider socket hang up before any provider output and a valid assistant response from the governed incomplete-completion repair attempt","A no-output provider exception remains eligible for incomplete-completion repair; the recovered assistant text completes the turn, the original network_interrupted failure remains auditable, completion records status complete and repaired true, and exactly two provider calls occur","A blanket suppressIncompleteCompletionRepair assignment in the outer provider-exception path treated every provider exception as ineligible for repair, so the no-output socket failure returned the generic interruption instead of the valid recovered response","apps/gateway/src/services/chat-turn-agent-runner.ts; apps/gateway/src/services/chat-turn-agent-runner.browser-fallback.test.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,"The recovered no-tool regression now asserts recovered text, no generic failure, completed trace status, retained network_interrupted socket-hang-up audit data, complete repaired completion state, and exactly two provider calls","The focused runner and stream pack passed 206/206 after removing only the blanket suppression assignment; intentional suppression after provider output or when fallback is disallowed or lacks budget remains intact","The identical shard 4 rerun passed 220 files and 2269 tests with 1 intentional skip; complete usability, final-SHA, and second clean-profile gates remain pending"
GC-USAB-060,P2,Settings integration diagnostics persistence,Fixed locally; focused and exact Chromium retests passed; final regression pending,"Run diagnostics for the deterministic configured integration against a freshly migrated isolated SQLite root","Persist the complete connector diagnostic report through the canonical connector_health_runs status summary_json and created_at schema and return the successful report to the operator","The shared writer targeted nonexistent checks_json recommendation and checked_at columns, so the route returned 409 with table connector_health_runs has no column named checks_json","artifacts/verification/2026-07-30T05-55-07-952Z-usability-11201255; apps/gateway/src/services/connector-diagnostics-helpers.ts; apps/gateway/src/services/connector-diagnostics-helpers.test.ts; artifacts/verification/2026-07-30T06-37-27-969Z-usability-ab8b39b1",6a9df3f21cc78279fa12859aa6cb59481c95d138,"A real migrated in-memory Storage regression writes and rereads the complete report including optional probe data through the canonical row shape","The focused connector diagnostics pack passed 26/26 and the exact integration validation and diagnostics step passed in the 14/14 targeted Settings artifact","Rerun the complete usability campaign from a clean root and retain final SQLite/Postgres parity"
GC-USAB-061,P2,Settings outbound-only channel finalization,Fixed locally; focused and exact Chromium retests passed; final regression pending,"Configure the deterministic outbound-only ntfy channel with inboundModes [none], run validation and a successful sandbox delivery, then select Finalize setup","Treat unsupported inbound as an expected passing runtime posture only when the declared channel is exactly outbound-only; inbound-capable unsupported modes must still warn, and an otherwise passing channel must finalize as connected","The runtime_posture check warned every unsupported inbound readiness including the intentional outbound-only posture, and finalization rejects warning-bearing reports, so the valid channel could never finalize","artifacts/verification/2026-07-30T06-25-49-737Z-usability-fb9cad64; apps/gateway/src/services/channel-capability-diagnostic-checks.ts; apps/gateway/src/services/channel-capability-diagnostic-checks.test.ts; apps/gateway/src/services/channel-setup-service.contract.test.ts; artifacts/verification/2026-07-30T06-37-27-969Z-usability-ab8b39b1",6a9df3f21cc78279fa12859aa6cb59481c95d138,"The diagnostic regression accepts only the exact outbound-only none/unsupported combination; a gateway inbound-capable unsupported case remains warning, and a valid ntfy setup finalizes to connected","The focused channel diagnostic/setup pack passed 22/22 and the deterministic loopback sandbox/finalization steps passed in the 14/14 targeted Settings artifact","Rerun the complete usability campaign and adjacent configured channel diagnostics on the final SHA"
GC-USAB-062,P1,Settings MCP discovery truth,Fixed locally; focused and exact Chromium retests passed; final regression pending,"Connect a stdio MCP proxy whose tools/list request receives a Gateway authentication error, then inspect server status and discovered tools; reconnect a previously populated server after it returns an empty catalog","A JSON-RPC discovery error sets the server to error without rewriting its tool cache; successful discovery is authoritative including an empty catalog, clears only that server's stale tools, and never invents capabilities from labels or CLI arguments","The tools/list error normalized to an empty list, the connect path substituted inferred browser tools from an agent ID containing browser, and marked the server connected; successful empty discovery could likewise retain or invent stale tools","artifacts/verification/2026-07-30T06-38-36-529Z-usability-41f0376a; apps/gateway/src/services/mcp-runtime.ts; apps/gateway/src/services/mcp-server-admin-service.ts; artifacts/verification/2026-07-30T07-15-29-021Z-usability-49d240dc",6a9df3f21cc78279fa12859aa6cb59481c95d138,"mcp-runtime.test.ts covers redacted stdio and remote JSON-RPC errors plus malformed catalogs; mcp-server-admin-service.test.ts covers exact empty discovery and target-only stale-cache clearing","The focused MCP runtime/admin pack passed 47/47, Gateway typecheck passed, artifact redaction passed, and the isolated Settings replacement passed all 14/14 steps","Rerun the complete usability campaign from a clean root, then retain final-SHA MCP, Settings, auth, and SQLite/Postgres gates"
GC-USAB-063,P2,Windows protocol activation delivery,Fixed locally; independent source review and regressions passed; exact packaged UI retest pending,"Launch a valid goatcitadel:// route during cold start, stop/restart, or an in-flight failed health poll; then send an invalid protocol or raw-launch token containing sensitive query text","Retain the latest validated local route until a fresh ready runtime and WebView can consume it exactly once, prefer it over default navigation, focus the single window, and show only a constant redacted diagnostic for rejected activations","Cold-start routes were acknowledged then dropped before runtime readiness; stale ready status could consume restart-time routes against a stopped URL; rejected raw/protocol activations could disappear without a useful safe diagnostic","apps/mission-control-windows/Services/ActivationDeliveryQueue.cs; apps/mission-control-windows/Services/ActivationService.cs; apps/mission-control-windows/MainWindow.xaml.cs; apps/mission-control-windows/Tests/ActivationServiceTests.cs",6a9df3f21cc78279fa12859aa6cb59481c95d138,"Activation resolver and FIFO tests cover valid protocol/raw launch, redacted rejection, ordinary launch silence, cold start, latest-intent replacement, restart/status-failure closure, recovery retry, and exactly-once delivery","Windows tests passed 62/62; x64 Release build passed with zero warnings/errors; independent activation review found no remaining P0-P2 source issue","Run the exact installed x64 candidate through cold and warm protocol activation, one-process focus, visible route, restart-time retention, and invalid redacted diagnostic proof"
