Observation ID,Area,Type,Status,Observation,Evidence,Decision or follow-up
GC-HARNESS-037,Capability filesystem fixture,Harness path-jail defect,Corrected locally; focused contracts passed; live capability sweep pending,"The deterministic fs.read file.read_range file.find code.search code.search_files fs.list and fs.stat probes initially supplied relative fixture paths even though the real executor and path jail require an absolute path rooted inside the isolated workspace; a failed harness path could be mistaken for a capability defect","scripts/verification/lib/scenarios/usability-capability-dispositions.mjs; scripts/verification/lib/scenarios/usability-lane.test.mjs","Create fixtures beneath path.join(runtimeRoot, workspace), pass only their absolute in-root paths, and retain explicit traversal/escape rejection contracts. Focused usability contracts passed 24/24; no live filesystem-capability pass is claimed until the full disposition sweep runs."
GC-HARNESS-038,Delegation provider response sequencing,Harness deterministic-provider defect,Corrected locally; exact complete Chat bundle passed,"The deterministic provider's global FIFO response plan was consumed by suggestion and other auxiliary model calls before the three delegated roles dispatched, so researcher reviewer and synthesizer received shifted or generic replies even when product delegation lineage was correct","artifacts/verification/2026-07-30T02-39-31-280Z-usability-browser-actions-74527970; artifacts/verification/2026-07-30T02-56-57-644Z-usability-browser-actions-8563572e; scripts/verification/lib/scenarios/deterministic-llm-stub.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; artifacts/verification/2026-07-30T03-52-11-577Z-usability-browser-actions-9ebced76","Add non-retaining prompt-match rules keyed only to exact Assigned role markers and store rule IDs rather than prompt contents. The clean replacement artifact passed all 4/4 Chat steps, including exact three-child execution, two-way fan-in, synthesized parent evidence, blocker resume, restart, and governed Code Mode."
GC-HARNESS-039,Verification UI package freshness,Harness stale-build risk,Corrected locally; command contracts and exact browser retest passed,"The source browser stack launched Vite directly rather than the package dev script, so it bypassed predev dependency builds and could serve stale threaded-surface-core output or an optimized dependency cache after Chat composition changed","scripts/verification/lib/runtime.mjs; packages/threaded-surface-core/src/MissionThreadedControllerHost.tsx; artifacts/verification/2026-07-30T03-07-48-918Z-usability-browser-actions-a36ee242; artifacts/verification/2026-07-30T03-10-41-258Z-usability-browser-actions-e861ae46; artifacts/verification/2026-07-30T03-52-11-577Z-usability-browser-actions-9ebced76","Force-compile threaded-surface-core after the Gateway dependency build and start development Vite with --force while retaining preview behavior and strictPort. Focused command contracts passed and transformed-module inspection proved current composition was served. The remaining Build editor defect was correctly isolated to unified Chat CSS under GC-USAB-053; the clean replacement browser bundle passed."
GC-HARNESS-040,General Settings persistence and action-list identity,Harness incomplete-proof defect,Corrected locally; focused contracts passed; exact Settings browser rerun pending,"The General Settings row changed interface controls but did not reload and verify exact stored values, so a transient control update could pass without persistence; the General section also needed contextual action-list labels after the shared SettingsActionList contract became explicit","packages/mission-control-shared/src/state/ui-preferences.tsx; apps/mission-control-next/src/features/native-routes/settings/sections/GeneralSection.tsx; scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.test.mjs; GC-USAB-033","Select Compact and Subtle, disable operator-attention toasts, reload, and assert the exact compact/subtle/unchecked values; retain Setup pathways and Quick settings routes labels. Product setter stability and exact persistence contracts pass locally, but the complete Settings Chromium bundle has not passed."
GC-HARNESS-041,Chat attachments citations and tools,Harness false-green risk,Corrected locally; focused validator contracts and exact Chromium retest passed,"The combined attachment row could pass from adjacent renderer or API tests without proving a real PNG preview a MIME-aware audio selection a URL knowledge source the sent turn's canonical attachment metadata or the correlated citation and tool event in one session","scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.test.mjs; artifacts/verification/2026-07-30T04-00-05-611Z-usability-browser-actions-c109b128","Use deterministic base64 PNG and WAV inputs, require the loaded image and visible audio name, attach the .invalid URL through retrieval mode, render exact citation/tool evidence, send the turn, then fail closed on projection count identity MIME media type size storage path metadata download source URL citation or tool-event drift. After GC-HARNESS-044 and GC-USAB-058, the clean replacement passed all 3/3 Chat lifecycle steps with zero console or page errors."
GC-HARNESS-042,Dev verification durable actor scope,Harness fixture-auth and actor-expectation defect,Corrected locally; focused tests and exact two-profile Chromium retest passed,"The private approval and user-input fixture originally froze durable Chat requests under a synthetic verification-operator actor rather than the authenticated request actor. After that repair, the first direct profile probe still hardcoded a token-actor expectation even though loopback precedence had produced a different canonical admitted operator in each durable payload, so valid profiles failed on operator and authenticated-actor fields.","apps/gateway/src/routes/dev-verification.ts; apps/gateway/src/routes/dev-verification.test.ts; apps/gateway/src/services/dev-verification-route-service.ts; apps/gateway/src/services/dev-verification-route-service.test.ts; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.test.mjs; artifacts/verification/2026-07-30T04-25-51-636Z-usability-browser-actions-c9e02ebe; artifacts/verification/2026-07-30T04-28-22-427Z-usability-browser-actions-21d5c12c","Pass request.authActorId and request.authActorSource into the admitted-v2 fixture and freeze the exact production requestActor. After both blockers resolve, fetch the approval and user-input capability-profile endpoints plus their canonical durable runs and validate each profile against its own payload.requestActor, session, workspace, turn, durable run, profile ID, and profile hash. The failed artifact records the over-strict hardcoded expectation; the replacement passed all 4/4 Chat steps with both exact actor-bound profiles. Complete campaign and final-SHA proof remain pending."
GC-HARNESS-043,Deterministic Code Mode fixture hashes,Harness host-drift and false-failure risk,Corrected locally; focused validator tests and exact named-proof browser retest passed,"A Windows system or global core.autocrlf=true could make the freshly committed proof fixture appear dirty when capture ignored ambient Git config; the validator also risked treating semantic wrapper/policy hashes as if they were the pretty-printed managed artifact byte hashes","scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.test.mjs; artifacts/verification/2026-07-30T03-52-11-577Z-usability-browser-actions-9ebced76","Pin core.autocrlf=false locally before the fixture commit, assert an empty porcelain status, validate each source/wrapper/policy/stdout preview against its own artifact SHA-256, and independently bind the semantic wrapperManifestHash and policySnapshotHash in the named-proof subject. Focused contracts pass and the exact git diff --check proof verified the immutable run subject."
GC-HARNESS-044,Canonical unified Chat attachment journey,Harness stale-selector defect,Corrected locally; exact Chromium retest passed,"The Chat lifecycle registry still attempted to click Open right panel menu before using the visible Chat actions even though the canonical one-surface journey exposes attachments and knowledge controls through Chat rather than a legacy or hidden right-panel entry. The first run therefore failed after its stop/retry and edit/branch steps had passed.","scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; artifacts/verification/2026-07-30T03-53-53-863Z-usability-browser-actions-052caca0; artifacts/verification/2026-07-30T03-56-42-566Z-usability-browser-actions-2b0e4e69; artifacts/verification/2026-07-30T04-00-05-611Z-usability-browser-actions-c109b128","Remove the stale hidden-menu action and drive the visible canonical Chat actions directly. The next run completed all 3/3 actions and correctly failed on GC-USAB-058 console health; after that product repair, the replacement passed 3/3 with zero console or page errors."
GC-HARNESS-045,Verification artifact evidence boundary,Harness P1 false-green risk,Corrected locally; focused contracts passed; complete usability gate pending,"Required usability scenario artifacts and named prerequisite evidence were accepted as nonempty path strings without proving that each value resolved to a unique canonical regular file inside its producing artifact root. Missing files directories symlinks absolute paths traversal and out-of-root paths could therefore satisfy orchestration while preserving no usable evidence.","scripts/verification/lib/scenario-artifact-evidence.mjs; scripts/verification/lib/scenario-artifact-evidence.test.mjs; scripts/verification/lib/scenarios/usability-lane.mjs; scripts/verification/lib/scenarios/usability-lane.test.mjs; scripts/verification/run.mjs","Resolve and validate every nested browser/capability artifact plus each named prerequisite against its declared artifact root; require a relative in-root regular non-symlink file and reject missing directory absolute traversal out-of-root duplicate or malformed evidence before usability can pass. Focused artifact-boundary and usability contracts passed 27/27; the complete corrected usability gate remains pending."
GC-ENV-003,Gateway coverage shard 2,Environment worker-starvation interruption,Classified; unchanged focused and identical shard reruns passed; complete campaign pending,"Under the full usability coverage-worker load, chat-compaction-breaker-action-service.test.ts exceeded its timeout on accepts the exact database-owned approval TTL window despite app-clock delay after 16.422 seconds; the failed shard otherwise passed 220/221 files and 2100/2101 tests. The exact test and full 6/6 file passed unchanged, and the identical 221-file shard rerun passed 2101/2101.","artifacts/verification/2026-07-30T04-29-20-599Z-usability-f35c4993/summary.md; artifacts/verification/2026-07-30T04-29-20-599Z-usability-f35c4993/diagnostics/fast.test.gateway.shard2.stdout.log; artifacts/verification/2026-07-30T04-36-51-239Z-usability-09c20d69; apps/gateway/src/services/chat-compaction-breaker-action-service.test.ts","Keep this separate from product results: no product code or test was changed for the timeout, and the unchanged focused and identical shard reruns classify it as ambient coverage-worker starvation rather than a product pass or fix. The complete usability campaign remains pending."
GC-HARNESS-046,Gateway terminal stream facade composition,Harness incomplete-facade defect,Corrected locally; focused and identical shard reruns passed; complete campaign pending,"Partial test-only GatewayService facades created through Object.create(GatewayService.prototype) bypassed constructor composition and omitted durableRunService.awaitTerminalChatAdmissionRelease. The shard 3 retained-stream test therefore rejected with Cannot read properties of undefined instead of exercising the mandatory terminal admission reconciliation; normal production construction was not implicated.","artifacts/verification/2026-07-30T04-36-51-239Z-usability-09c20d69/summary.md; artifacts/verification/2026-07-30T04-36-51-239Z-usability-09c20d69/diagnostics/fast.test.gateway.shard3.stderr.log; apps/gateway/src/services/gateway-service.watchdog-stream-active-turn.test.ts; apps/gateway/src/services/gateway-service.loop26-large-services-a.test.ts","Compose an explicit awaitTerminalChatAdmissionRelease collaborator in both partial facades and assert the exact run session turn and 10000 ms timeout so the harness preserves the fail-closed production contract. The focused stream pack passed 104/104, and the identical shard 3 rerun passed 2127 tests with 4 intentional skips. The complete usability campaign remains pending."
GC-HARNESS-047,Scenario artifact alias ownership,Harness validator false-failure defect,Corrected locally; contracts and isolated realtime proof passed; complete campaign pending,"The new scenario-artifact validator treated every repeated canonical path as a duplicate, including the intentional console JSON alias that one realtime scenario owns under both orthogonal logs and playwright categories. After 16 prerequisite scenarios had passed with no failed or degraded records, the named realtime prerequisite assertion rejected that alias and the usability manifest finalized failed before downstream scenarios. The realtime scenarios themselves had passed.","artifacts/verification/2026-07-30T05-00-24-025Z-usability-5d770247/manifest.json; artifacts/verification/2026-07-30T05-00-24-025Z-usability-5d770247/summary.md; scripts/verification/lib/scenario-artifact-evidence.mjs; scripts/verification/lib/scenario-artifact-evidence.test.mjs; artifacts/verification/2026-07-30T05-25-07-548Z-realtime-truth-c268323c/summary.md","Track canonical ownership by scenario and duplicate membership within each category: accept the same canonical artifact across orthogonal categories of its owning scenario and count it once, reject a duplicate within one category, and reject reuse by another scenario. Artifact-evidence and usability contracts passed 35/35, the 11-test artifact-evidence rerun passed, the prior stopped artifact's named prerequisite assertion is now accepted, and isolated realtime truth passed 2/2. This is not a product or realtime repair; the complete usability and final-SHA gates remain pending."
GC-HARNESS-048,Capability approval disposition probe,Harness contract false-failure defect,Corrected locally; focused contracts and exact core proof passed; complete campaign pending,"The full campaign passed its 17 prerequisite and coverage scenarios, then the foundation capability probe rejected a successfully executed safe tool approval because it expected actionType inside a top-level or duplicated action envelope. The durable approval contract instead records one pending_action_execute effect whose payload owns actionType and whose completed result is mirrored by replay.pendingAction. Product execution and durable approval truth were intact.","artifacts/verification/2026-07-30T05-27-09-197Z-usability-d4a8cb25/summary.md; scripts/verification/lib/scenarios/usability-capability-dispositions.mjs; scripts/verification/lib/scenarios/usability-lane.test.mjs; artifacts/verification/2026-07-30T05-53-27-281Z-usability-core-1e1fd695/summary.md","Validate the exact resolved approval identity, unique completed pending_action_execute effect, payload action type, target and payload identity, executed result envelope, audit identity, and replay.pendingAction parity; boundedly poll canonical replay when settlement is still pending without reinvoking the action. Focused contracts passed 28/28, and the isolated exact core passed 1/1 with zero failed, degraded, skipped, or not-configured scenarios. This is not a product repair; the complete usability campaign and final-SHA gate remain pending."
GC-HARNESS-049,Settings channel sandbox fixture,Harness fixture false-failure defect,Corrected locally; focused contracts and exact Chromium retest passed,"The Settings fixture seeded its ntfy channel with dryRun true, so the sandbox check intentionally returned warning-only evidence and product finalization correctly rejected it even after connector diagnostics passed","artifacts/verification/2026-07-30T06-22-35-595Z-usability-1667dcde; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.test.mjs; artifacts/verification/2026-07-30T06-37-27-969Z-usability-ab8b39b1","Seed dryRun false and route the ntfy POST to the isolated fixture server's deterministic loopback endpoint; require the request to complete without a personal destination or external side effect. Focused harness tests passed 26/26, and the corrected Settings artifact passed all 14/14 steps."
GC-HARNESS-050,Settings MCP lifecycle choreography,Harness stale-contract and selector defect,Corrected locally; focused contracts and exact Chromium retest passed,"The choreography first expected goatcitadel.session.status even though the shipped MCP server does not export it. After changing discovery, the run still selected session.status before creating an mcp.* grant, so the new grant was filtered out and its Revoke control could not be reached.","artifacts/verification/2026-07-30T06-31-25-713Z-usability-787cc482; artifacts/verification/2026-07-30T06-35-10-327Z-usability-c479c673; scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.test.mjs; artifacts/verification/2026-07-30T06-37-27-969Z-usability-ab8b39b1","Assert the stable exported goatcitadel.context.list tool after discovery, then select mcp.invoke before creating the mcp.* deny grant so its visible row can be revoked. The exact replacement passed the MCP discovery, health, disconnect, grant, and revoke lifecycle inside the 14/14 Settings artifact."
GC-HARNESS-051,Settings MCP authenticated fixture,Harness credential-boundary defect,Corrected locally; focused and exact Chromium retests passed,"The deterministic local MCP fixture launched GoatCitadel's Gateway-backed stdio proxy without explicitly allowing the proxy to receive the operator token. A fresh full campaign therefore exercised unauthenticated discovery, while GC-USAB-062's fail-open inference made that product failure look connected with unrelated tools.","artifacts/verification/2026-07-30T06-38-36-529Z-usability-41f0376a; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.test.mjs; artifacts/verification/2026-07-30T07-15-29-021Z-usability-49d240dc","Keep MCP child environment deny-by-default and add only GOATCITADEL_AUTH_TOKEN to this known proxy fixture's explicit policy.allowedEnvKeys. The harness contract preserves that exact grant, the product fails closed without it, and the clean isolated replacement discovered goatcitadel.context.list and passed all 14/14 Settings steps."
GC-HARNESS-052,Windows installer lifecycle isolation,Harness destructive-boundary defect,Corrected locally; independent review approved and focused contracts passed; exact candidate pending,"The shared installer smoke originally started the desktop host before isolating runtime and app roots, retained ambient launcher and external endpoint overrides, used prefix-only process matching, and could invoke packaged stop during early failure against ambient state. Partial-install and scratch cleanup could also orphan registrations or report success with retained state.","scripts/packaging/smoke-windows-installer.ps1; scripts/packaging/windows-installer-smoke-contract.test.mjs; apps/mission-control-windows/MainWindow.xaml.cs","Own one validated scratch child for install/runtime/WebView/captures; set isolated roots and clear desktop-launcher/Gateway/UI overrides before host launch; refuse pre-existing protocol/package identity; bind process cleanup to a separator-bounded installed path; independently remove and verify candidate-owned registrations; fail closed on retained scratch state; redact diagnostics; and restore every caller variable. The focused smoke contracts pass 8/8, all packaging tests pass 51/51, and independent review approves the slice."
GC-HARNESS-053,Unsigned Windows installer lifecycle gate,Harness release false-green defect,Corrected locally; independent review approved and workflow/packaging contracts passed; live unsigned candidate pending,"The manual unsigned Windows workflow could upload an installer after build/checksum without exercising the same desktop launch, runtime readiness, protocol registration, uninstall, immutable-payload, and manifest-binding lifecycle gate used by the signed release path.",".github/workflows/release-installers.yml; scripts/packaging/smoke-windows-installer.ps1; scripts/packaging/windows-installer-smoke-contract.test.mjs; docs/1_0_RELEASE_EVIDENCE.md; docs/PACKAGING.md","Route signed and explicit unsigned Windows jobs through one shared lifecycle smoke with each lane's exact release manifest path. Signed mode additionally requires coherent installer/desktop/identity signers and publisher; both modes compare installed/detached manifest bytes and validate the installed payload. Workflow validation passes, all packaging tests pass 51/51, and independent review approves the slice; exact local candidate proof remains required."
GC-ENV-004,Full usability storage prerequisite,Environment disk-capacity interruption,Classified; capacity restored and clean campaign rerun pending,"After every Gateway coverage shard and the Gateway node suite had run, the storage coverage prerequisite exhausted the worktree volume while writing c8/V8 temporary coverage JSON. The resulting SQLite assertion failures were secondary ENOSPC effects, not storage product regressions.","artifacts/verification/2026-07-30T08-05-40-153Z-usability-3ef58fdb/diagnostics/fast.test.storage.stdout.log; packages/storage/coverage/tmp","Keep the interruption separate from product results, reclaim host capacity, and rerun unchanged storage coverage before continuing. No stopped artifact is converted into a storage or usability pass."
GC-HARNESS-054,Usability campaign disk-capacity preflight,Harness late-environment-failure defect,Corrected locally; focused contracts passed; full campaign rerun pending,"The direct usability command could spend the full Gateway prerequisite wave before discovering that the repository volume could not retain storage coverage output. The fast lane's existing 1 GiB temp-location heuristic did not gate the repository volume or retain a campaign-start capacity verdict.","scripts/verification/lib/scenarios/usability-disk-preflight.mjs; scripts/verification/run.mjs; scripts/verification/lib/scenarios/usability-lane.test.mjs","Run a portable Node statfs preflight before secret collection and every long prerequisite; require an 8 GiB reserve on repository and effective temp roots, retain the exact report as usability.preflight.disk-capacity, fail closed on measurement/configuration errors, and permit a lower explicit override only in exploratory source mode. Focused usability contracts pass 33/33."
GC-HARNESS-056,Exact usability artifact redaction binding,Harness P2 secret-proof false-green risk,Corrected locally; focused contracts passed; final campaign rerun pending,"pnpm verify:usability launched its redaction scan in a second process that resolved mutable latest-run.json. A concurrent verifier could redirect the scan, while a deleted or non-directory pointer target was treated as clean, allowing the just-completed usability artifact to escape the required leakage gate. A final independent audit then reproduced two remaining bypasses: nested symbolic links and unsupported Dirent types were silently skipped, and any failed usability or all-lane run finalized its failed manifest and best-effort review before rethrowing without scanning the retained failure artifacts.","package.json; scripts/verification/run.mjs; scripts/verification/lib/scenarios/usability-final-integrity.mjs; scripts/verify-artifact-redaction.mjs; scripts/verify-artifact-redaction.test.mjs; scripts/verification/lib/scenarios/usability-final-integrity.test.mjs; scripts/verification/lib/scenarios/usability-lane.test.mjs","Run the final scan in process against context.artifactRoot after review generation on successful and failed runs, remove the second-process pointer lookup from verify:usability, and make gate mode reject missing or non-directory roots plus every nested link or unsupported entry without dereferencing external targets. The pointer-race, missing-root, nested-link, streaming scanner, failed-run ordering/aggregation, orchestration, and live-provider focused pack passes 56/56; final campaign redaction remains pending."
GC-HARNESS-057,End-to-end usability source guard,Harness P2 final-SHA attribution false-green risk,Corrected locally; focused contracts passed; final campaign rerun pending,"Direct usability generated fast auth backup runtime and realtime evidence before taking its source snapshot, while verify:all generated nearly every lane first. A clean HEAD change during those prerequisites could combine evidence from one revision with a later route ledger attributed to another. The same completion check was skipped entirely whenever the lane failed, leaving failed-run evidence unattributed to a verified completion state.","scripts/verification/run.mjs; scripts/verification/lib/scenarios/usability-lane.mjs; scripts/verification/lib/scenarios/usability-final-integrity.mjs; scripts/verification/lib/scenarios/usability-lane.test.mjs; scripts/verification/lib/scenarios/usability-final-integrity.test.mjs","Open one final-mode source guard before the first prerequisite, pass that exact state into runUsabilityLane, reject prerequisite-time drift before route journeys, then persist and compare the completion state after review and exact-root redaction including optional all-lane soak on both success and failure. Preserve the original lane error as the first aggregate error and expose only a sanitized secondary integrity category. Focused HEAD-mutation, ordering, and failed-run aggregation contracts pass inside the 56/56 pack; final clean-SHA execution remains pending."
GC-HARNESS-058,Live-provider completion source proof,Harness P2 stale-source attribution false-green risk,Corrected locally; focused contracts passed; final live-provider rerun pending,"The live Sol Terra Luna runner recorded only its initial source SHA and finalized without a completion snapshot, so an edit or clean HEAD change during the multi-minute provider pack could leave a passing artifact attributed to stale source.","scripts/verification/live-provider-preqa.mjs; scripts/verification/live-provider-preqa.test.mjs","Run a final live-provider.source-integrity scenario after exact-root redaction, retain diagnostics/live-provider-source-state.json with started and completed states, and fail the manifest on any source field mismatch. The focused live-provider pack passes 8/8 including retained changed-HEAD failure and orchestration-order proof; the credentialed final-SHA provider rerun remains pending."
GC-HARNESS-055,Chromium mutation and download terminal evidence,Harness P2 operator-action false-green risk,Corrected locally; focused and exact four-bundle Chromium retests passed,"A browser-action step could finish on a mutation click without proving its terminal state, while Download file, Download artifact, Download blueprint, and Export diagnostics accepted a clicked control plus success copy without observing or validating the downloaded payload. Independent review then found that three asynchronous skill lifecycle requests could race and that expected filenames plus nonempty bytes did not establish Artifact, Blueprint, or Diagnostics content identity. The stricter discovery run also exposed stale assumptions about approval-gated memory forget, the generated artifact extension, Kanban retry/close projection, Citadel blueprint fixture identity, notification archive settlement, and Prompt Pack run/dispatch attribution.","scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.test.mjs; scripts/verification/lib/scenarios/deterministic-llm-stub.mjs; scripts/verification/lib/scenarios/deterministic-llm-stub.test.mjs; artifacts/verification/2026-07-30T09-33-42-067Z-usability-browser-action-integrity-final-ebeab683; artifacts/verification/2026-07-30T10-00-49-923Z-usability-browser-action-prompt-semantic-retest-aa13d090; artifacts/verification/2026-07-30T10-07-20-931Z-usability-browser-action-prompt-semantic-final-0bcd2d85; artifacts/verification/2026-07-30T10-09-17-970Z-usability-browser-action-prompt-semantic-final-2-4786788f; artifacts/verification/2026-07-30T10-12-17-392Z-usability-browser-action-prompt-metadata-diagnostic-1d65a121; artifacts/verification/2026-07-30T10-17-06-623Z-usability-browser-action-prompt-memory-mapping-final-28a237f0; artifacts/verification/2026-07-30T10-18-22-155Z-usability-browser-action-integrity-final-clean-a43fcf11","Require every registered step to end in an explicit UI or canonical API readback with no active exemptions. Skill Enable, Sleep, and Disable each require their own exact UI result plus canonical no-op state or exact pending approval. Download-named controls must await Playwright's event, reject cross-platform unsafe names and oversized or empty files, retain SHA-256, and bind either a reviewed hash or an approved typed content contract; Artifact uses an exact hash while Blueprint and Diagnostics validate schema plus fixture identity. Prompt Pack Run all and Compare each bind to their exact POST body and returned run ID, wait for canonical scored settlement, reject duplicate starts, and verify the purpose-classified provider footprint without retaining prompt text. Focused contracts pass 80/80. The final combined artifact passed all 4 selected scenarios and all 35 actions with zero failed, degraded, skipped, or not-configured rows. The 09-33, 10-00, 10-07, 10-09, and 10-12 roots are retained as discovery or diagnostic failures and are not pass evidence. The complete all-in-one final-SHA campaign remains pending."
GC-ENV-005,Full usability Gateway shard 1,Environment slow-volume interruption,Classified; exact unchanged shard passed on isolated C temp; complete campaign rerun pending,"The explicitly selected F: verification temp root had ample capacity but made unrelated SQLite-heavy Gateway shard tests exceed their 15-second limits. The stopped shard reported 84 timeouts across nine otherwise unrelated files after 13m49s; no assertion mismatch established a product defect.","artifacts/verification/2026-07-30T10-24-33-366Z-usability-6f853347/summary.md; artifacts/verification/2026-07-30T10-24-33-366Z-usability-6f853347/diagnostics/fast.test.gateway.shard1.stdout.log; artifacts/verification/2026-07-30T10-39-28-920Z-fast-71ee75b8/summary.md","Keep the F: interruption separate from product results. The exact unchanged shard passed 221/221 files and 2089/2089 tests in 3m18s on an isolated C: temp root. Use that validated root for the complete rerun; neither the stopped campaign nor the isolated shard is a complete usability pass."
GC-HARNESS-059,Backup failure review classification,Harness P2 repair-routing defect,Corrected locally; focused contracts passed; complete campaign pending,"The failed backup scenario's stack contained the helper name assertOk. The unbounded sse token matched the letters inside that name, so review.json labeled a backup/runtime failure critical SSE, pointed at Gateway event-stream code, and recommended verify:fast instead of the exact backup lane.","artifacts/verification/2026-07-30T10-44-44-182Z-usability-c4a6bb32/review.json; scripts/verification/lib/review.mjs; scripts/verification/lib/review.test.mjs; packages/contracts/src/verification.ts","Give backup-roundtrip scenario identity precedence, add the typed backup_runtime family, bound the SSE token, preserve explicit SSE reconnect classification, and recommend only pnpm verify:backup:roundtrip. Focused review contracts pass 10/10 and contracts typecheck passes."
GC-HARNESS-060,Direct compatibility failure review classification,Harness P2 repair-routing defect,Corrected locally; focused contracts passed; complete campaign pending,"The three direct-path redirect timeouts were labeled provider_outage solely because the generic timeout rule ran before route identity. review.json pointed at Gateway LLM code, duplicated console and trace references, and recommended verify:fast instead of the affected browser lane.","artifacts/verification/2026-07-30T11-17-30-150Z-usability-9ef56ede/review.json; scripts/verification/lib/review.mjs; scripts/verification/lib/review.test.mjs; packages/contracts/src/verification.ts","Give surface-regression redirect identity precedence through the typed route_compatibility family, point at the Mission Control route owners, deduplicate canonical artifact references, add canonical-path review guidance, and recommend pnpm verify:surface:regression. Focused review contracts pass 11/11, contracts typecheck passes, and scoped diff hygiene is clean."
GC-HARNESS-061,Recovered loopback SSE console classification,Harness P2 false-failure risk,Corrected locally; focused contracts and exact bundle retest passed; complete campaign pending,"The C:-pinned full campaign completed all 74 local Chromium actions, but one Library bundle was marked failed solely because a single loopback EventSource connection attempt returned net::ERR_CONNECTION_FAILED during repeated synthetic hard navigations. Same-port Gateway API requests stayed healthy, the Gateway did not restart, and the client obtained a fresh token and reopened the stream about 1.5 seconds later.","artifacts/verification/2026-07-30T11-57-44-603Z-usability-21caaeea; artifacts/verification/2026-07-30T12-31-47-399Z-usability-browser-actions-focused-a368eb23; artifacts/verification/2026-07-30T12-43-23-544Z-usability-browser-actions-sse-hardened-f8ecc61d; scripts/verification/lib/scenarios/browser-helpers.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs","Retain bounded sanitized request-failure and response evidence. Acknowledge at most one exact /api/v1/events/stream ERR_CONNECTION_FAILED only after a later 200 and client sse/open are proven, then continue observing through the original failure-plus-five-second deadline so a delayed second failure revokes the acknowledgement. Wrong-URL, repeated, truncated, late, missing, unavailable, or incomplete-stability evidence remains fatal. Focused helper/action contracts pass 47/47. The unchanged exact Library bundle passes 10/10 before hardening and again with the hardened logger; the latter retains 10 successful stream responses, zero failures, available diagnostics, and zero acknowledgement. The two focused roots pass artifact redaction; the stopped failure root is non-evidence and is correctly flagged by the new compressed-trace scan under GC-HARNESS-062."
GC-HARNESS-062,Compressed artifact secret scanning,Harness P2 secret-scan false-green risk,Corrected locally; focused contracts and retained-trace probe passed; final exact-root scan pending,"The artifact scanner streamed only raw file bytes. Secret-shaped Authorization and environment values inside a compressed Playwright failure trace were therefore invisible, so the old scan reported green even though decompression exposed three matching rule classes.","scripts/verify-artifact-redaction.mjs; scripts/verify-artifact-redaction.test.mjs; artifacts/verification/2026-07-30T11-57-44-603Z-usability-21caaeea/playwright/usability-browser-actions-library-catalog-memory-trace.zip","Parse bounded ZIP central/local records without extraction, reject multi-disk ZIP64 encrypted unsupported malformed oversized or unscannable archives, stream stored/deflate entries through the same overlap-aware matcher, and return only archive filename plus rule IDs. Focused redaction contracts pass 12/12. The retained failure trace now correctly reports bearer-token authorization-header and provider-secret-env instead of a false green; successful focused roots remain clean."
GC-HARNESS-063,Usability gate self-proof wiring,Harness P2 gate-composition false-green risk,Corrected locally; exact command prefix passed; complete campaign pending,"pnpm verify:usability ran only the redaction lane orchestration and final-integrity unit files before its long runner. Its selected fast prerequisites omit fast.repo-hygiene, so browser logging action classification browser evidence and scenario-artifact regressions could change without their own gate executing those tests.","package.json; scripts/verification/lib/scenario-artifact-evidence.test.mjs; scripts/verification/lib/scenarios/browser-helpers.test.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.test.mjs; scripts/verification/lib/scenarios/usability-browser-evidence.test.mjs","Wire every usability-specific evidence and classifier unit owner into the named command before the runner. The exact new prefix passes 106/106, including compressed trace scanning, delayed repeat SSE failure, artifact ownership, browser evidence, route/action inventory, source integrity, and failed-run redaction ordering."
